UNITID,ROOM,APPLFEEU,ASSOC1,SPORT1,SPORT2,SPORT3,SPORT4,STUFACR
134529,2,0,-2,-2,-2,-2,-2,15
134574,2,0,-2,-2,-2,-2,-2,15
134608,2,0,0,2,2,2,2,24
134714,2,0,-2,-2,-2,-2,-2,10
134811,2,0,0,2,2,2,2,14
134945,1,30,1,1,1,1,1,11
135081,2,55,0,1,1,1,1,14
135142,2,100,-2,-2,-2,-2,-2,20
135160,1,0,0,2,2,2,2,18
135179,2,0,-2,-2,-2,-2,-2,16
135188,2,30,0,2,2,2,2,26
135267,2,40,-2,2,2,2,2,21
135276,2,,-2,-2,-2,-2,-2,20
135294,2,15,-2,2,2,2,2,16
135337,2,0,-2,-2,-2,-2,-2,22
135364,2,50,0,2,2,2,2,17
135391,2,20,0,2,2,2,2,30
135407,2,30,-2,2,2,2,2,12
135522,2,30,-2,-2,-2,-2,-2,6
135559,2,0,-2,-2,-2,-2,-2,10
135610,2,45,0,2,2,2,2,9
135647,2,15,-2,2,2,2,2,15
135717,2,30,0,2,2,2,2,19
135726,1,70,1,1,1,1,1,12
135735,2,40,-2,2,2,2,2,18
136109,2,100,-2,-2,-2,-2,-2,15
136145,2,20,0,2,2,2,2,20
136172,1,30,1,2,1,1,1,19
136215,1,50,1,2,1,1,1,17
136233,2,0,0,2,2,2,2,24
136303,2,40,-2,2,2,2,2,6
136330,1,50,1,2,1,1,1,12
136358,2,40,0,2,2,2,2,29
136400,2,25,0,2,2,2,2,27
136473,2,30,0,2,2,2,2,23
136491,2,15,-2,2,2,2,2,7
136516,2,0,0,2,2,2,2,27
136659,2,15,-2,2,2,2,2,20
136701,1,,0,2,2,2,2,
136765,2,30,-2,-2,-2,-2,-2,24
136774,1,70,0,2,2,2,2,12
136826,2,15,-2,2,2,2,2,18
136950,1,50,1,2,1,1,1,11
137023,2,40,-2,-2,-2,-2,-2,15
137032,1,45,1,2,1,1,1,18
137078,2,40,0,2,2,2,2,22
137087,2,15,-2,2,2,2,2,7
137096,2,0,0,2,2,2,2,22
137120,2,45,-2,2,2,2,2,4
137209,2,0,0,2,2,2,2,27
137245,2,0,-2,2,2,2,2,15
137272,1,0,0,2,2,2,2,4
137281,2,30,0,2,2,2,2,20
137315,2,15,0,2,2,2,2,17
137351,1,30,1,1,1,1,1,23
137476,1,0,0,1,1,1,1,12
137546,1,50,1,1,1,1,1,13
137564,1,40,0,1,1,1,1,23
137591,2,0,-2,-2,-2,-2,-2,9
137713,2,50,-2,2,2,2,2,7
137759,2,0,0,2,2,2,2,25
137777,1,0,0,2,2,2,2,4
137801,2,0,0,2,2,2,2,19
137847,1,40,1,2,1,1,1,17
137856,2,65,-2,-2,-2,-2,-2,13
137865,2,25,-2,-2,-2,-2,-2,16
137953,1,35,0,2,2,2,2,12
137962,1,35,0,2,2,2,2,9
138187,2,35,0,2,2,2,2,23
138275,1,20,0,1,1,1,1,14
138284,2,10,-2,2,2,2,2,10
138293,1,0,0,1,1,1,1,24
138309,2,0,0,2,2,2,2,13
138354,1,30,1,1,1,1,1,21
138372,2,40,-2,2,2,2,2,11
138479,2,0,-2,2,2,2,2,14
138488,2,40,-2,-2,-2,-2,-2,40
138497,2,30,-2,2,2,2,2,6
138558,1,20,0,2,2,2,2,17
138600,1,0,1,2,1,2,1,10
138655,2,50,0,2,2,2,2,23
138664,2,50,0,2,2,2,2,12
138682,2,25,0,2,2,2,2,15
138716,1,25,1,1,1,1,1,19
138761,1,20,0,2,2,2,2,8
138813,2,0,0,2,2,2,2,19
138822,2,100,-2,-2,-2,-2,-2,20
138840,2,25,0,2,2,2,2,16
138868,1,0,0,1,1,1,1,17
138901,2,20,0,2,2,2,2,18
138929,2,,0,2,2,2,2,
138938,2,75,-2,-2,-2,-2,-2,24
138947,1,35,1,1,1,1,1,19
138956,2,25,0,2,2,2,2,15
139144,1,0,1,1,1,1,1,11
139153,1,50,0,2,2,2,2,6
139199,1,0,0,2,1,2,1,10
139205,1,35,0,2,1,1,1,18
139214,2,50,0,2,2,2,2,8
139250,1,25,0,2,1,2,2,19
139278,2,25,0,2,2,2,2,19
139311,1,40,1,2,1,2,1,19
139348,1,,0,2,2,2,2,
139357,2,25,0,2,2,2,2,17
139366,1,40,1,2,1,1,1,16
139384,2,25,0,2,2,2,2,21
139393,1,35,1,2,1,1,1,12
139463,1,30,0,2,1,2,1,18
139506,2,0,-2,-2,-2,-2,-2,15
139579,2,0,0,2,2,2,2,9
139621,1,20,0,2,2,2,2,24
139630,1,25,1,2,1,1,1,15
139658,1,75,1,2,1,1,1,9
139700,2,30,0,2,2,2,2,21
139719,1,20,1,1,1,1,1,23
139746,2,35,-2,2,2,2,2,9
139755,1,75,1,1,1,1,1,19
139764,1,25,1,2,1,1,1,16
139861,1,40,1,2,1,1,1,17
139931,1,30,1,1,1,1,1,20
139940,1,60,1,1,1,1,1,26
139959,1,70,1,1,1,1,1,17
139968,1,30,0,2,2,2,2,19
139986,2,25,0,2,2,2,2,17
139995,2,50,0,2,2,2,2,38
140003,2,0,0,2,2,2,2,14
140012,2,25,0,2,2,2,2,20
140146,1,,0,2,2,2,2,
140234,1,0,1,1,1,1,1,11
140243,2,25,0,2,2,2,2,15
140252,1,50,0,2,1,2,1,13
140331,2,30,0,2,2,2,2,21
140340,2,0,0,2,2,2,2,14
140447,1,50,1,1,1,1,1,13
140553,1,50,1,1,1,1,1,14
140562,2,,0,2,2,2,2,
140678,1,25,0,2,2,2,2,15
140696,1,50,1,2,1,1,1,15
140720,1,35,1,2,1,1,1,10
140818,1,0,1,2,1,1,1,11
140827,2,100,-2,2,2,2,2,7
140872,1,0,0,1,1,1,1,13
140942,2,25,0,2,2,2,2,17
140951,1,50,0,2,2,2,1,20
140960,1,0,1,1,1,1,1,17
140988,1,25,1,1,1,1,1,12
141006,1,25,0,2,2,2,2,17
141015,2,100,-2,2,2,2,2,7
141060,1,40,0,2,2,2,2,10
141167,1,35,0,2,1,1,2,10
141185,1,30,0,2,2,2,2,13
141237,1,0,0,2,1,1,1,18
141255,2,25,0,2,2,2,2,14
141264,1,40,1,1,1,1,1,20
141325,1,0,1,2,1,2,1,8
141334,1,40,1,1,1,1,1,18
141361,1,0,1,2,1,1,2,11
141486,1,50,1,2,1,2,1,11
141565,1,50,1,2,1,1,1,13
141574,1,70,1,1,1,1,1,12
141608,2,25,-2,-2,-2,-2,-2,17
141644,1,50,1,2,1,1,1,17
141680,2,25,0,2,2,2,2,15
141796,2,25,0,2,2,2,2,16
141802,2,25,0,2,2,2,2,10
141811,2,25,0,2,2,2,2,21
141839,2,25,0,2,2,2,2,15
141963,-2,,-2,-2,-2,-2,-2,
141981,2,50,0,2,2,2,2,18
141990,2,25,0,2,2,2,2,17
142054,2,0,0,2,2,2,2,16
142090,1,25,0,2,2,2,2,11
142115,1,50,1,1,1,1,1,18
142179,2,0,0,2,2,2,2,11
142276,1,50,1,1,1,2,1,13
142285,1,60,1,1,1,2,1,16
142294,1,0,0,1,1,1,1,11
142328,1,0,0,2,1,1,1,12
142407,2,100,-2,2,2,2,2,10
142416,2,120,-2,-2,-2,-2,-2,20
142443,1,0,0,2,2,2,2,13
142461,1,0,1,2,1,1,1,17
142489,2,100,-2,2,2,2,2,13
142522,1,35,0,2,2,2,2,19
142559,1,0,0,2,2,2,2,19
142832,2,,0,2,2,2,2,
142887,2,25,0,2,2,2,2,9
142957,1,25,0,2,2,2,2,2
143048,1,65,0,2,2,2,2,11
143084,1,0,1,1,1,1,1,11
143118,1,0,1,1,1,1,1,19
143181,2,0,-2,-2,-2,-2,-2,10
143215,2,0,0,2,2,2,2,19
143233,1,,0,2,2,2,2,
143279,2,20,0,2,2,2,2,19
143288,1,0,1,2,1,1,1,11
143297,2,0,0,2,2,2,2,10
143303,2,100,-2,2,2,2,2,4
143358,1,0,1,2,1,1,1,12
143376,2,100,-2,-2,-2,-2,-2,12
143464,2,100,-2,-2,-2,-2,-2,13
143473,2,100,-2,-2,-2,-2,-2,20
143482,2,100,-2,-2,-2,-2,-2,15
143491,2,100,-2,-2,-2,-2,-2,15
143543,2,100,-2,-2,-2,-2,-2,7
143552,2,0,-2,-2,-2,-2,-2,9
143613,2,0,0,2,2,2,2,14
143659,1,,0,2,2,2,2,
143695,2,50,-2,-2,-2,-2,-2,
143853,1,,0,2,2,2,2,
143978,2,50,0,2,2,2,2,4
144005,1,25,1,2,1,1,1,10
144014,2,,0,2,2,2,2,
144050,1,75,1,1,1,1,1,5
144157,2,0,0,2,2,2,2,18
144166,2,0,0,2,2,2,2,26
144175,2,0,0,2,2,2,2,19
144184,2,0,0,2,2,2,2,23
144193,2,0,0,2,2,2,2,30
144209,2,0,0,2,2,2,2,25
144218,2,0,0,2,2,2,2,29
144281,1,50,0,2,2,2,2,14
144351,1,0,1,1,1,1,1,12
144485,2,25,0,2,2,2,2,17
144500,-2,,-2,-2,-2,-2,-2,
144564,2,0,0,2,2,2,2,16
144573,2,0,-2,-2,-2,-2,-2,8
144740,1,0,1,2,1,2,1,16
144777,-2,,-2,-2,-2,-2,-2,
144795,2,100,-2,-2,-2,-2,-2,18
144865,2,20,0,2,2,2,2,21
144883,2,40,0,2,2,2,2,16
144892,1,30,1,1,1,1,1,14
144944,2,0,0,2,2,2,2,20
144962,1,0,1,1,1,1,1,13
144971,1,0,1,1,1,1,1,11
145099,2,25,-2,-2,-2,-2,-2,20
145239,2,50,0,2,2,2,2,11
145275,1,,0,2,2,2,2,
145309,2,100,-2,-2,-2,-2,-2,7
145336,1,25,0,2,1,2,1,12
145354,1,40,-2,2,2,2,2,3
145372,1,0,1,1,1,1,1,11
145406,2,0,-2,-2,-2,-2,-2,16
145424,2,100,-2,-2,-2,-2,-2,9
145433,2,100,-2,-2,-2,-2,-2,23
145497,1,100,0,2,2,2,2,6
145521,2,0,0,2,2,2,2,12
145558,1,,0,2,2,2,2,
145600,1,60,1,2,1,1,1,18
145619,1,40,1,1,1,1,1,14
145628,1,,0,2,2,2,2,
145637,1,50,1,1,1,1,1,20
145646,1,0,1,1,1,1,1,11
145682,2,0,0,2,2,2,2,17
145691,1,0,1,1,1,1,1,13
145707,2,0,0,2,2,2,2,12
145725,1,0,1,2,1,1,1,12
145813,1,50,1,1,1,1,1,19
145831,2,0,0,2,2,2,2,15
145886,2,,0,2,2,2,2,
146205,2,0,0,2,2,2,2,21
146241,2,,0,2,2,2,2,
146278,2,0,0,2,2,2,2,13
146296,2,0,0,2,2,2,2,19
146339,1,50,0,2,1,1,1,13
146348,2,0,0,2,2,2,2,12
146366,2,0,0,2,2,2,2,19
146418,2,0,0,2,2,2,2,17
146427,1,50,1,1,1,1,1,10
146454,2,100,-2,-2,-2,-2,-2,15
146472,2,0,0,2,2,2,2,17
146481,1,0,1,1,1,2,1,12
146490,2,,0,2,2,2,2,
146506,2,0,0,2,2,2,2,19
146533,2,30,0,2,2,2,2,8
146603,2,0,0,2,2,2,2,18
146612,1,40,1,2,1,1,1,13
146667,1,0,0,2,1,1,2,15
146676,1,25,0,2,1,1,1,16
146685,2,0,0,2,2,2,2,20
146700,2,0,0,2,2,2,2,24
146719,1,0,1,2,1,2,1,14
146728,1,,0,2,2,2,2,
146755,2,50,0,2,2,2,2,12
146807,2,100,-2,-2,-2,-2,-2,9
146816,2,20,0,2,2,2,2,13
146825,1,0,1,1,1,1,2,13
146977,2,,0,2,2,2,2,
147004,2,15,0,2,2,2,2,21
147013,1,0,1,1,1,1,1,14
147031,2,,0,2,2,2,2,
147129,1,25,0,2,2,2,2,9
147244,1,0,1,1,1,1,1,10
147341,1,0,1,1,1,1,1,10
147369,1,50,0,2,2,2,2,20
147378,2,25,0,2,2,2,2,20
147396,1,30,0,2,2,2,2,9
147411,2,10,0,2,2,2,2,19
147439,2,100,-2,2,2,2,2,10
147536,2,0,0,2,2,2,2,15
147590,1,55,0,2,2,2,2,6
147642,2,100,-2,-2,-2,-2,-2,7
147660,1,25,1,1,1,1,1,14
147679,1,0,1,1,1,1,1,10
147697,2,,0,2,2,2,2,
147703,1,40,1,1,1,1,1,15
147767,1,75,1,1,1,1,1,6
147776,1,30,0,2,2,2,2,13
147800,2,25,0,2,2,2,2,15
147819,2,100,-2,-2,-2,-2,-2,14
147828,1,25,0,1,1,1,1,14
147916,2,0,0,2,2,2,2,15
148007,2,0,0,2,2,2,2,13
148016,1,0,1,2,1,1,1,7
148098,2,100,-2,-2,-2,-2,-2,5
148131,1,0,1,1,1,1,1,14
148256,2,0,0,2,2,2,2,18
148292,2,0,0,2,2,2,2,15
148335,1,20,0,1,1,1,1,21
148380,2,0,0,2,2,2,2,16
148405,1,0,1,1,1,1,1,10
148487,1,25,0,2,1,1,1,10
148496,1,25,1,2,1,1,1,10
148511,2,40,0,2,2,2,2,5
148575,1,50,0,2,2,2,2,8
148584,1,0,0,1,1,1,1,13
148593,2,60,0,2,2,2,2,6
148627,1,0,0,1,1,1,1,16
148654,1,50,1,2,1,1,1,12
148672,2,0,0,2,2,2,2,15
148821,2,0,0,2,2,2,2,16
148876,2,0,0,2,2,2,2,8
148885,1,,0,2,2,2,2,
148937,2,0,0,2,2,2,2,19
148955,2,0,-2,-2,-2,-2,-2,14
148982,2,,0,2,2,2,2,
148991,2,0,0,2,2,2,2,18
149028,2,75,0,2,2,2,2,7
149204,2,100,-2,-2,-2,-2,-2,6
149222,1,40,1,1,1,1,1,12
149231,1,40,1,2,1,1,1,17
149240,-2,,-2,-2,-2,-2,-2,
149310,2,25,0,2,2,2,2,15
149329,1,100,0,2,2,2,2,13
149365,2,0,0,2,2,2,2,13
149499,2,0,-2,-2,-2,-2,-2,7
149505,1,0,0,2,1,1,1,10
149514,1,35,0,1,1,1,1,11
149532,2,0,0,2,2,2,2,19
149550,2,0,-2,-2,-2,-2,-2,10
149587,-2,,-2,-2,-2,-2,-2,
149639,2,35,0,2,2,2,2,6
149727,2,0,0,2,2,2,2,19
149763,2,50,0,2,2,2,2,10
149772,1,30,1,1,1,1,1,13
149781,1,50,1,1,1,1,1,10
149842,2,25,0,2,2,2,2,19
150048,1,0,0,2,2,2,2,9
150066,1,0,1,1,1,1,1,11
150136,1,60,1,1,1,1,1,14
150145,1,0,0,2,1,1,1,11
150163,1,0,1,1,1,1,1,11
150172,2,0,0,2,1,1,1,12
150215,1,,0,2,2,2,2,
150251,2,50,0,2,2,2,2,18
150288,1,,0,2,2,2,2,
150303,2,0,-2,-2,-2,-2,-2,9
150400,1,40,1,1,1,1,1,8
150428,2,100,-2,-2,-2,-2,-2,8
150455,1,0,1,1,1,1,1,7
150534,1,0,1,2,1,1,1,11
150604,1,0,1,1,1,1,1,11
150668,1,25,0,2,1,1,1,10
150677,1,0,0,2,1,1,1,20
150756,1,0,1,1,1,1,1,12
150765,2,40,-2,-2,-2,-2,-2,13
150774,1,0,0,2,1,2,2,12
150853,2,0,-2,-2,-2,-2,-2,13
150941,1,20,0,2,1,1,1,12
150987,2,0,0,2,2,2,2,19
151102,1,50,1,2,1,1,1,15
151111,1,65,1,2,1,2,1,15
151263,1,25,1,1,1,1,1,12
151290,1,50,0,2,1,1,1,11
151306,1,40,1,2,1,1,1,17
151324,1,25,1,1,1,1,1,18
151333,2,35,0,2,1,1,1,15
151342,1,35,0,2,1,1,1,13
151351,1,65,1,1,1,1,1,16
151360,2,35,0,2,1,2,1,14
151379,1,35,0,2,1,1,2,13
151388,2,35,0,2,1,2,1,15
151458,1,50,0,2,2,2,2,21
151467,1,50,0,2,2,2,2,14
151564,2,0,-2,-2,-2,-2,-2,12
151607,2,0,-2,-2,-2,-2,-2,10
151652,2,125,-2,-2,-2,-2,-2,17
151661,2,0,0,2,2,2,2,27
151777,1,0,1,1,1,1,1,15
151786,1,0,0,1,1,1,1,13
151801,1,0,0,1,1,1,1,13
151810,2,25,0,2,2,2,2,22
151865,1,,0,2,2,2,2,
151962,2,50,0,2,2,2,2,12
152044,2,100,-2,2,2,2,2,20
152080,1,75,1,1,1,1,1,9
152099,1,,1,2,1,1,1,12
152150,2,0,-2,-2,-2,-2,-2,12
152275,2,0,-2,-2,-2,-2,-2,15
152309,2,100,-2,-2,-2,-2,-2,13
152318,1,50,1,1,1,1,1,11
152336,1,0,0,1,1,1,1,11
152381,1,0,0,2,2,2,2,8
152390,1,0,1,2,1,2,1,9
152451,1,,0,2,2,2,2,
152497,2,0,-2,2,2,2,2,7
152530,1,25,0,1,1,1,1,12
152567,1,0,1,1,1,1,1,15
152600,1,0,1,1,1,1,1,10
152628,2,0,-2,-2,-2,-2,-2,9
152637,1,20,0,2,2,2,2,21
152673,1,50,1,1,1,1,1,10
152798,2,50,0,2,2,2,2,10
152992,1,0,0,1,1,1,1,11
153001,1,0,1,1,1,1,1,7
153074,2,50,-2,2,2,2,2,8
153083,2,50,-2,2,2,2,2,13
153108,1,25,1,1,1,1,1,13
153126,1,0,0,1,1,1,1,8
153144,1,30,1,1,1,1,1,10
153162,1,0,1,1,1,1,1,12
153214,1,0,0,2,2,2,2,19
153241,1,25,0,2,2,2,2,4
153250,1,0,0,1,1,1,1,14
153269,1,0,1,1,1,2,1,10
153278,1,25,1,1,1,1,1,13
153296,1,0,0,2,2,2,2,17
153302,1,0,0,2,2,2,2,8
153311,1,0,0,2,2,2,2,20
153320,1,45,0,2,2,2,2,13
153339,2,55,-2,2,2,2,2,6
153366,1,0,0,1,1,1,1,12
153375,1,0,0,1,1,1,1,12
153384,1,0,1,1,1,1,1,9
153427,2,0,0,2,2,2,2,14
153445,2,0,0,2,2,2,2,17
153463,2,95,-2,2,2,2,2,9
153472,1,0,0,2,2,2,2,14
153524,1,0,0,2,2,2,2,17
153533,1,0,0,2,2,2,2,14
153542,2,25,-2,2,2,2,2,9
153588,2,25,-2,2,2,2,2,8
153597,2,50,-2,2,2,2,2,6
153603,1,40,1,1,1,2,1,18
153621,1,0,1,1,1,1,1,10
153630,1,0,0,2,2,2,2,18
153658,1,40,1,1,1,1,1,15
153737,2,0,0,2,2,2,2,19
153746,2,50,-2,2,2,2,2,8
153764,2,50,-2,2,2,2,2,14
153773,1,50,-2,2,2,2,2,7
153782,2,50,-2,2,2,2,2,6
153825,1,0,1,1,1,1,1,12
153834,1,0,1,1,1,1,1,11
153861,1,25,0,2,2,2,2,11
153922,1,0,0,2,2,2,2,20
153977,2,0,0,2,2,2,2,7
154004,1,0,0,1,1,1,1,13
154013,1,0,0,2,1,1,1,15
154022,2,0,0,2,2,2,2,14
154059,1,0,0,2,2,2,2,22
154095,1,40,1,1,1,2,1,17
154101,1,0,0,1,1,1,1,10
154110,2,0,0,2,2,2,2,14
154129,1,0,0,2,2,2,2,13
154156,2,,0,2,2,2,2,
154165,2,50,-2,2,2,2,2,4
154174,1,50,0,2,2,2,2,6
154208,2,100,-2,2,2,2,2,15
154235,1,0,0,1,1,1,1,11
154262,2,0,0,2,2,2,2,6
154332,2,50,-2,2,2,2,2,18
154341,2,50,-2,2,2,2,2,5
154350,1,0,1,1,1,1,1,11
154378,1,0,0,2,2,2,2,16
154396,1,0,0,2,2,2,2,15
154448,2,50,-2,2,2,2,2,11
154457,2,50,-2,2,2,2,2,6
154466,2,100,-2,2,2,2,2,12
154493,1,0,1,1,1,1,1,12
154518,1,0,0,1,1,1,1,21
154527,1,0,1,1,1,1,1,11
154536,1,,0,2,2,2,2,
154545,2,100,-2,2,2,2,2,12
154572,1,0,0,2,2,2,2,16
154590,1,0,0,1,1,1,1,13
154642,1,0,0,2,2,2,2,21
154688,1,0,0,1,1,1,1,11
154697,1,0,0,2,2,2,2,18
154712,1,50,0,1,1,1,1,14
154721,1,0,0,1,1,1,1,13
154749,1,0,0,1,1,2,1,9
154800,1,0,0,2,2,2,2,18
154855,1,0,0,2,1,1,1,16
154907,1,0,0,2,2,2,2,13
154925,1,0,0,2,2,2,2,24
154934,1,0,0,2,2,2,2,18
154952,1,0,0,2,2,2,2,16
154998,1,0,0,2,2,2,2,11
155007,2,0,0,2,2,2,2,10
155025,1,30,1,1,1,1,1,17
155052,2,0,0,2,2,2,2,14
155061,1,30,1,1,1,1,1,18
155070,1,0,0,2,2,2,2,12
155089,1,0,0,1,1,1,1,12
155098,1,0,0,2,2,2,2,20
155104,1,0,0,2,2,2,2,16
155140,1,10,0,2,1,2,1,25
155159,2,0,-2,-2,-2,-2,-2,10
155177,1,0,0,2,2,2,2,9
155186,1,0,0,2,2,2,2,19
155195,1,0,0,2,2,2,2,17
155201,1,0,0,2,2,2,2,18
155210,2,0,0,2,2,2,2,19
155283,2,0,0,2,2,2,2,31
155292,1,0,0,2,2,2,2,14
155308,1,0,0,2,2,2,2,11
155317,1,40,1,1,1,1,1,17
155335,1,0,1,2,1,1,1,11
155353,2,50,-2,-2,-2,-2,-2,10
155399,1,40,1,1,1,1,1,18
155414,1,20,0,1,1,1,1,11
155423,2,0,-2,-2,-2,-2,-2,16
155450,2,0,0,2,2,2,2,15
155487,2,40,0,2,2,2,2,16
155496,1,25,0,2,2,2,2,12
155511,1,0,0,1,1,1,1,13
155520,1,0,0,1,1,1,1,13
155566,1,0,0,2,2,2,2,11
155593,1,50,0,2,2,2,2,10
155618,1,25,0,2,2,2,2,12
155627,1,25,0,1,1,1,1,11
155636,2,50,0,2,2,2,2,4
155681,1,30,1,1,1,1,1,16
155715,1,0,0,2,2,2,2,21
155812,1,25,0,1,1,1,1,11
155830,2,0,0,2,2,2,2,10
155858,1,0,0,2,2,2,2,16
155900,1,25,0,1,1,1,1,10
155937,1,25,0,1,1,1,1,11
155973,1,30,0,1,1,1,1,13
156082,1,20,1,1,1,1,1,15
156107,2,0,0,2,2,2,2,14
156125,1,30,1,2,1,1,1,19
156134,2,0,0,2,2,2,2,22
156189,1,0,0,2,1,1,1,21
156213,1,0,0,2,1,1,1,10
156222,1,,0,2,2,2,2,
156231,2,0,0,2,2,2,2,18
156277,2,0,-2,-2,-2,-2,-2,14
156286,1,25,1,2,1,1,1,12
156295,1,0,1,2,1,1,1,10
156310,2,0,-2,-2,-2,-2,-2,7
156338,2,0,0,2,2,2,2,19
156356,1,25,0,2,1,1,1,13
156365,1,0,0,1,1,1,1,14
156392,2,0,0,2,2,2,2,19
156408,1,0,1,1,1,1,1,10
156417,1,50,0,2,2,2,2,10
156426,2,100,-2,-2,-2,-2,-2,20
156471,2,0,0,2,2,2,2,14
156541,1,30,0,1,1,1,1,20
156620,1,35,1,1,1,1,1,15
156648,2,0,0,2,2,2,2,22
156727,2,,0,2,2,2,2,
156745,1,0,0,1,1,1,1,11
156754,2,100,-2,2,2,2,2,13
156790,2,0,0,2,2,2,2,17
156842,2,100,-2,-2,-2,-2,-2,17
156851,2,0,0,2,2,2,2,15
156860,2,0,0,2,2,2,2,19
156921,2,0,0,2,2,2,2,22
156967,2,30,-2,-2,-2,-2,-2,20
157021,2,0,0,2,2,2,2,23
157030,1,25,0,2,2,2,2,11
157058,1,30,1,1,1,1,1,11
157076,1,0,1,1,1,1,1,14
157085,1,50,1,1,1,1,1,16
157100,1,0,0,1,1,1,1,11
157207,2,,0,2,2,2,2,
157216,1,0,0,1,1,1,1,17
157289,1,25,1,1,1,1,1,14
157298,1,,0,2,2,2,2,
157304,2,0,0,2,2,2,2,17
157331,2,0,0,2,2,2,2,20
157377,1,30,0,2,1,1,1,17
157386,1,30,1,1,1,1,1,16
157401,1,40,1,1,1,1,1,15
157438,2,0,0,2,2,2,2,17
157447,1,40,1,2,1,1,1,18
157483,2,0,0,2,2,2,2,20
157535,1,0,0,1,1,1,1,15
157553,2,0,0,2,2,2,2,17
157614,2,125,-2,-2,-2,-2,-2,12
157650,2,125,-2,-2,-2,-2,-2,20
157669,2,125,-2,-2,-2,-2,-2,21
157678,2,125,-2,-2,-2,-2,-2,22
157711,2,0,0,2,2,2,2,18
157739,2,0,0,2,2,2,2,21
157748,1,40,0,2,2,2,2,17
157757,1,0,1,2,1,1,1,7
157793,1,30,0,2,2,2,2,9
157809,1,0,0,1,1,1,1,15
157818,1,0,1,2,1,1,1,11
157827,2,100,-2,-2,-2,-2,-2,
157854,-2,,-2,-2,-2,-2,-2,
157863,1,10,0,1,1,1,1,12
157951,1,45,1,1,1,1,1,18
158088,2,0,0,2,2,2,2,25
158246,2,0,-2,-2,-2,-2,-2,10
158325,2,50,-2,2,2,2,2,9
158343,2,25,0,2,2,2,2,10
158431,2,0,0,2,2,2,2,21
158477,1,0,1,2,1,1,2,9
158538,2,100,-2,-2,-2,-2,-2,20
158617,2,0,-2,-2,-2,-2,-2,20
158644,2,100,-2,-2,-2,-2,-2,14
158662,2,0,0,2,2,2,2,18
158778,2,0,-2,-2,-2,-2,-2,17
158787,2,100,-2,-2,-2,-2,-2,16
158802,1,36,0,2,1,2,1,13
158884,2,0,0,2,2,2,2,24
159009,1,20,1,1,1,1,1,24
159027,2,100,-2,-2,-2,-2,-2,11
159197,2,0,0,2,2,2,2,16
159328,2,0,-2,-2,-2,-2,-2,17
159373,1,50,0,2,2,2,2,3
159382,1,20,0,2,1,1,2,16
159391,1,50,1,1,1,1,1,20
159407,1,25,0,2,2,2,2,22
159416,2,20,0,2,1,1,2,27
159513,2,100,-2,-2,-2,-2,-2,15
159522,2,100,-2,-2,-2,-2,-2,15
159531,2,0,-2,-2,-2,-2,-2,5
159568,1,25,1,1,1,1,1,12
159601,2,0,-2,-2,-2,-2,-2,6
159647,1,20,1,1,1,1,1,22
159656,1,0,0,2,1,1,1,12
159717,1,20,1,1,1,1,1,20
159939,1,25,1,2,1,1,1,20
159948,1,40,0,2,2,2,2,11
159966,1,20,1,1,1,1,1,20
159993,1,20,1,1,1,1,1,18
160010,2,0,0,2,2,2,2,14
160038,1,20,1,1,1,1,1,20
160065,1,0,0,2,2,2,2,10
160074,2,35,0,2,2,2,2,10
160117,2,0,-2,-2,-2,-2,-2,22
160126,2,0,-2,-2,-2,-2,-2,14
160199,2,100,-2,-2,-2,-2,-2,14
160320,2,100,-2,-2,-2,-2,-2,15
160409,1,0,0,2,2,2,2,6
160445,2,50,-2,-2,-2,-2,-2,
160472,2,0,-2,-2,-2,-2,-2,14
160481,2,0,0,2,2,2,2,20
160524,2,0,0,2,2,2,2,13
160533,-2,,-2,-2,-2,-2,-2,
160579,2,0,0,2,2,2,2,21
160597,2,150,-2,-2,-2,-2,-2,20
160612,1,20,1,1,1,1,1,20
160621,1,25,1,1,1,1,1,21
160630,1,20,0,2,1,2,1,21
160649,1,20,0,2,2,2,2,23
160658,1,25,1,1,1,1,1,20
160667,2,0,0,2,2,2,2,26
160755,1,0,1,1,1,1,1,8
160904,1,0,0,2,1,2,1,15
160959,1,50,0,2,2,2,2,10
160977,1,60,1,1,1,1,1,10
160995,2,30,0,2,2,2,2,15
161004,1,65,1,1,1,1,1,9
161022,1,50,0,2,2,2,2,6
161077,1,20,0,2,2,2,2,16
161086,1,0,1,1,1,1,1,9
161138,1,20,0,2,2,2,2,15
161192,2,0,0,2,2,2,2,15
161208,2,0,0,2,2,2,2,5
161217,1,0,0,2,2,2,2,14
161226,1,0,1,2,1,1,1,11
161235,1,40,0,2,2,2,2,15
161244,1,0,0,2,2,2,2,11
161253,1,0,1,1,1,1,1,15
161280,-2,,-2,-2,-2,-2,-2,
161299,1,50,1,1,1,2,1,11
161341,1,40,1,2,1,1,1,13
161457,1,40,1,1,1,2,1,13
161484,1,20,0,2,2,2,2,12
161493,2,100,-2,-2,-2,-2,-2,11
161509,1,50,0,2,2,2,2,8
161518,1,0,1,2,1,1,1,10
161527,2,50,-2,-2,-2,-2,-2,13
161545,1,20,0,2,2,2,2,18
161554,1,0,1,2,1,1,1,13
161563,1,0,1,2,1,1,1,24
161572,1,0,0,2,2,2,2,14
161581,1,0,0,2,2,2,2,8
161688,1,0,0,2,2,2,2,12
161767,2,0,0,2,2,2,2,17
