UNITID,ROOM,APPLFEEU,ASSOC1,SPORT1,SPORT2,SPORT3,SPORT4,STUFACR
107220,2,0,-2,-2,-2,-2,-2,5
107293,2,100,-2,-2,-2,-2,-2,21
107318,2,0,0,2,2,2,2,10
107327,2,0,0,2,2,2,2,15
107442,2,0,-2,-2,-2,-2,-2,20
107460,2,0,0,2,2,2,2,14
107488,2,10,-2,-2,-2,-2,-2,6
107512,1,0,1,1,1,1,1,12
107521,2,0,0,2,2,2,2,10
107549,1,0,0,2,2,2,2,14
107558,1,0,1,2,1,1,1,15
107585,2,0,0,2,2,2,2,21
107600,1,25,0,2,1,2,1,14
107619,2,0,0,2,2,2,2,13
107637,2,0,0,2,2,2,2,12
107655,2,100,-2,-2,-2,-2,-2,22
107664,2,0,0,2,2,2,2,17
107725,2,0,0,2,2,2,2,14
107743,1,0,0,2,2,2,2,18
107789,2,100,-2,-2,-2,-2,-2,25
107831,2,170,-2,-2,-2,-2,-2,24
107840,2,0,0,2,2,2,2,14
107877,1,0,0,2,1,1,1,12
107974,2,0,0,2,2,2,2,13
107983,1,0,1,1,1,1,1,16
107992,1,50,0,2,2,2,2,13
108056,-2,,-2,-2,-2,-2,-2,
108065,2,100,-2,-2,-2,-2,-2,12
108092,1,0,1,2,1,1,1,17
108232,1,50,1,2,1,1,1,14
108269,2,,0,2,2,2,2,
108348,2,0,-2,-2,-2,-2,-2,
108649,2,50,-2,-2,-2,-2,-2,12
108667,2,0,0,2,2,2,2,32
108807,2,0,0,2,2,2,2,25
108852,1,50,0,2,2,2,2,15
108861,2,,0,2,2,2,2,
108870,2,,0,2,2,2,2,
108977,2,100,-2,-2,-2,-2,-2,25
109040,2,25,0,2,2,2,2,45
109086,2,90,0,2,2,2,2,6
109208,2,0,0,2,2,2,2,27
109350,2,0,0,2,2,2,2,23
109651,2,50,0,2,2,2,2,8
109721,2,75,-2,-2,-2,-2,-2,23
109730,2,100,-2,-2,-2,-2,-2,12
109785,1,45,1,1,1,1,1,11
109819,2,0,0,2,2,2,2,28
109907,2,0,0,2,2,2,2,24
109934,2,75,-2,2,2,2,2,22
110060,2,50,0,2,2,2,2,10
110097,1,45,1,2,1,1,1,14
110194,2,0,-2,-2,-2,-2,-2,10
110219,2,25,0,2,2,2,2,31
110246,2,0,0,2,2,2,2,20
110316,2,65,0,2,2,2,2,11
110334,2,0,0,2,2,2,2,22
110361,1,45,1,2,1,1,1,16
110370,1,70,0,2,2,2,2,8
110398,1,,0,2,2,2,2,
