UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPLCN,APPLCNM,APPLCNW,ADMSSN,ADMSSNM,ADMSSNW,ENRLT,ENRLM,ENRLW,ENRLFT,ENRLFTM,ENRLFTW,ENRLPT,ENRLPTM,ENRLPTW,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR75,SATMT25,SATMT75,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75
209612,1,2,1,2,1,3,1,1,3,2524,1034,1490,2186,883,1303,416,159,257,416,159,257,,,,297,71,196,47,540,630,520,630,20,26,19,25,19,26
209807,1,3,1,1,2,2,5,1,3,6861,2513,4348,6573,2371,4202,1674,675,999,1576,640,936,98,35,63,699,42,555,33,500,630,500,590,18,24,16,24,17,24
209825,1,2,1,1,1,3,1,1,3,11641,3651,7990,8923,2886,6037,1004,367,637,1004,367,637,0,0,0,775,77,372,37,580,670,570,680,23,29,23,31,23,28
209922,1,5,1,1,1,5,1,5,3,5815,2247,3568,2295,858,1437,394,185,209,394,185,209,,,,276,70,165,42,670,750,655,770,30,34,31,35,27,33
210146,1,3,1,1,3,2,1,1,3,2514,870,1644,1966,674,1292,647,252,395,631,243,388,16,9,7,465,72,223,34,490,620,490,580,18,25,16,24,17,24
210304,1,3,1,3,3,3,2,1,3,508,136,372,495,129,366,63,25,38,62,25,37,1,0,1,,,,,,,,,,,,,,
210331,1,3,1,3,1,3,1,1,5,866,288,578,737,250,487,206,84,122,206,84,122,0,0,0,164,80,60,29,510,640,500,600,19,26,17,24,17,24
210401,1,2,1,1,1,3,2,1,3,3972,1589,2383,3095,1176,1919,371,153,218,371,153,218,0,0,0,,,,,,,,,,,,,,
210429,1,5,1,5,5,3,5,1,3,3069,1097,1972,2596,857,1739,789,272,517,751,259,492,38,13,25,229,29,120,15,480,590,480,570,17,23,15,23,16,22
210492,1,3,1,2,5,3,1,1,3,279,114,165,256,103,153,81,41,40,81,41,40,,,,71,88,14,17,470,570,470,540,17,20,14,20,16,20
210571,1,2,1,2,2,3,2,2,3,5278,1999,3279,4495,1634,2861,411,173,238,411,173,238,,,,,,,,,,,,,,,,,
210669,1,5,1,1,1,3,5,1,3,5208,2321,2887,3237,1313,1924,500,218,282,496,218,278,4,0,4,280,56,136,27,590,680,580,680,24,30,23,31,23,28
210739,1,2,1,1,1,3,1,1,3,3272,1119,2153,2579,864,1715,500,181,319,475,173,302,25,8,17,424,89,55,12,520,640,510,620,21,29,21,30,18,27
210775,1,2,1,2,2,3,1,2,3,3767,1520,2247,2419,941,1478,399,180,219,399,180,219,0,0,0,376,94,65,16,480,570,463,560,18,24,,,,
211024,1,2,1,2,1,3,2,1,3,276,169,107,112,62,50,97,47,50,85,44,41,12,3,9,,,,,,,,,,,,,,
211088,2,2,1,1,1,1,1,1,3,10216,3146,7070,6709,1961,4748,530,179,351,529,179,350,1,0,1,487,92,91,17,520,640,510,620,21,28,21,28,19,27
211149,3,3,3,3,3,3,3,3,1,61,21,40,54,18,36,39,12,27,39,12,27,,,,,,,,,,,,,,,,,
211158,2,2,1,1,2,3,1,1,3,8165,2846,5319,6876,2489,4387,1992,765,1227,1979,760,1219,13,5,8,1896,95,128,6,480,580,470,570,18,23,17,23,16,23
211273,1,5,1,2,1,3,2,1,3,3332,0,3332,1102,,1102,374,,374,374,,374,,,,,,,,,,,,,,,,,
211291,1,2,1,1,1,2,5,1,3,9845,5135,4710,3370,1616,1754,964,459,505,964,459,505,,,,695,72,350,36,620,700,635,730,28,32,29,34,26,31
211352,1,2,1,1,5,3,5,1,3,3297,1161,2136,2500,870,1630,369,156,213,368,155,213,1,1,0,171,46,29,8,500,590,500,590,19,27,,,,
211361,1,5,1,3,5,5,1,1,3,3105,1324,1781,3016,1277,1739,966,441,525,942,432,510,24,9,15,858,89,148,15,460,560,450,540,17,23,15,23,16,22
